1700
0| 54 245 
1| 96 239 
2| 192 72 
3| 128 7 
4| 64 23 
5| 228 85 
6| 185 16 
7| 193 126 
8| 43 152 
9| 255 40 
10| 166 86 
11| 138 95 
12| 75 206 
13| 79 88 
14| 72 228 
15| 253 127 
16| 217 93 
17| 110 153 
18| 166 238 
19| 160 230 
20| 6 133 
21| 59 191 
22| 149 252 
23| 62 192 
24| 149 61 
25| 232 59 
26| 147 114 
27| 154 222 
28| 65 234 
29| 54 137 
30| 206 51 
31| 8 167 
32| 145 118 
33| 65 55 
34| 101 225 
35| 29 107 
36| 102 89 
37| 42 251 
38| 85 104 
39| 188 234 
40| 166 164 
41| 38 57 
42| 23 192 
43| 24 88 
44| 170 78 
45| 225 120 
46| 130 234 
47| 32 19 
48| 96 97 
49| 74 197 
50| 66 103 
51| 48 169 
52| 192 91 
53| 164 22 
54| 195 96 
55| 0 105 
56| 5 38 
57| 163 28 
58| 231 187 
59| 116 145 
60| 9 85 
61| 10 139 
62| 63 42 
63| 158 160 
64| 139 232 
65| 101 205 
66| 80 150 
67| 118 16 
68| 241 27 
69| 38 180 
70| 123 39 
71| 30 128 
72| 77 193 
73| 156 52 
74| 124 16 
75| 198 133 
76| 102 208 
77| 17 165 
78| 250 175 
79| 69 133 
80| 152 171 
81| 82 232 
82| 65 201 
83| 248 50 
84| 228 31 
85| 230 95 
86| 70 4 
87| 224 147 
88| 197 124 
89| 200 65 
90| 141 142 
91| 199 243 
92| 94 216 
93| 152 88 
94| 135 222 
95| 221 31 
96| 137 47 
97| 7 202 
98| 248 0 
99| 252 220 
100| 31 226 
101| 60 101 
102| 231 28 
103| 248 172 
104| 152 192 
105| 238 37 
106| 78 181 
107| 24 172 
108| 141 177 
109| 4 20 
110| 143 225 
111| 52 24 
112| 17 59 
113| 226 9 
114| 59 222 
115| 230 90 
116| 192 34 
117| 191 167 
118| 62 184 
119| 84 214 
120| 120 66 
121| 252 199 
122| 247 20 
123| 115 132 
124| 197 120 
125| 152 84 
126| 89 204 
127| 108 106 
128| 8 78 
129| 116 67 
130| 44 90 
131| 158 237 
132| 124 93 
133| 148 186 
134| 21 232 
135| 144 142 
136| 42 140 
137| 85 33 
138| 161 200 
139| 165 102 
140| 64 62 
141| 187 154 
142| 10 39 
143| 4 18 
144| 118 120 
145| 86 162 
146| 210 244 
147| 143 78 
148| 81 36 
149| 8 103 
150| 12 153 
151| 245 55 
152| 37 74 
153| 88 198 
154| 18 254 
155| 45 83 
156| 60 232 
157| 237 70 
158| 15 241 
159| 89 133 
160| 106 175 
161| 40 60 
162| 163 183 
163| 139 244 
164| 219 147 
165| 91 232 
166| 44 80 
167| 31 82 
168| 154 119 
169| 24 173 
170| 117 69 
171| 0 177 
172| 45 237 
173| 248 61 
174| 222 81 
175| 194 72 
176| 0 234 
177| 133 163 
178| 162 16 
179| 151 125 
180| 163 243 
181| 101 208 
182| 67 132 
183| 34 222 
184| 252 58 
185| 139 113 
186| 128 139 
187| 35 173 
188| 120 27 
189| 234 86 
190| 108 173 
191| 159 108 
192| 151 36 
193| 15 57 
194| 52 166 
195| 183 215 
196| 153 28 
197| 167 221 
198| 161 201 
199| 187 157 
200| 4 70 
201| 14 132 
202| 209 49 
203| 49 73 
204| 76 28 
205| 159 184 
206| 201 62 
