100000
0| 63 159 
1| 239 243 
2| 184 81 
3| 24 158 
4| 231 198 
5| 148 222 
6| 170 138 
7| 218 122 
8| 100 22 
9| 99 39 
10| 9 87 
11| 32 154 
12| 129 161 
13| 93 173 
14| 205 231 
15| 175 12 
16| 134 158 
17| 255 62 
18| 239 23 
19| 220 215 
20| 221 112 
21| 181 135 
22| 250 143 
23| 1 94 
24| 165 100 
25| 133 174 
26| 188 166 
27| 73 61 
28| 71 166 
29| 234 20 
30| 141 153 
31| 33 20 
32| 55 32 
33| 82 39 
34| 56 47 
35| 254 21 
36| 159 179 
37| 157 154 
38| 66 158 
39| 248 231 
40| 3 126 
41| 149 191 
42| 36 222 
43| 252 107 
44| 133 230 
45| 127 18 
46| 128 160 
47| 38 183 
48| 193 121 
49| 222 249 
50| 168 220 
51| 14 71 
52| 143 171 
53| 225 209 
54| 74 218 
55| 184 77 
56| 88 78 
57| 12 124 
58| 44 8 
59| 231 177 
60| 238 102 
61| 196 110 
62| 7 234 
63| 38 200 
64| 99 4 
65| 193 11 
66| 225 207 
67| 83 112 
68| 123 52 
69| 66 197 
70| 14 250 
71| 18 102 
72| 72 30 
73| 226 117 
74| 38 201 
75| 38 20 
76| 48 234 
77| 131 55 
78| 213 169 
79| 255 56 
80| 173 192 
81| 68 142 
82| 143 151 
83| 255 10 
84| 203 65 
85| 207 218 
86| 59 225 
87| 64 132 
88| 255 35 
89| 249 37 
90| 236 31 
91| 58 28 
92| 10 189 
93| 83 223 
94| 102 82 
95| 23 19 
96| 18 91 
97| 162 162 
98| 242 161 
99| 172 190 
100| 226 124 
101| 152 29 
102| 93 216 
103| 161 93 
104| 251 154 
105| 130 232 
106| 186 188 
107| 4 196 
108| 121 88 
109| 163 223 
110| 170 186 
111| 243 189 
112| 22 149 
113| 95 8 
114| 54 11 
115| 198 24 
116| 135 94 
117| 53 229 
118| 55 215 
119| 66 50 
120| 113 196 
121| 26 43 
122| 129 31 
123| 239 250 
124| 119 146 
125| 218 33 
126| 77 205 
127| 222 99 
128| 98 61 
129| 107 152 
130| 73 50 
131| 176 208 
132| 144 229 
133| 181 199 
134| 188 247 
135| 250 46 
136| 188 20 
137| 89 61 
138| 51 73 
139| 55 170 
140| 219 17 
